series_ticker,event_ticker,market_ticker,title,yes_bid,yes_ask,mid,last_price,volume,open_interest,status
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-KAT,Who will perform at the 2026 FIFA World Cup final halftime show?,0.06,0.07,0.065,0.08,2409.67,1778.79,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-KAR,Who will perform at the 2026 FIFA World Cup final halftime show?,0.09,0.16,0.125,0.08,3812.56,1936.94,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-KAN,Who will perform at the 2026 FIFA World Cup final halftime show?,0.01,0.02,0.015,0.02,1985.77,1368.27,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-KAL,Who will perform at the 2026 FIFA World Cup final halftime show?,0.02,0.03,0.025,0.13,662.00,512.00,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-JUS,Who will perform at the 2026 FIFA World Cup final halftime show?,0.66,0.67,0.665,0.66,70645.22,43988.99,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-JOJ,Who will perform at the 2026 FIFA World Cup final halftime show?,0.01,0.02,0.015,0.01,337.00,313.00,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-JOH,Who will perform at the 2026 FIFA World Cup final halftime show?,0.02,0.03,0.025,0.04,1958.42,414.18,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-JCO,Who will perform at the 2026 FIFA World Cup final halftime show?,0.02,0.03,0.025,0.03,386.00,100.00,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-JBA,Who will perform at the 2026 FIFA World Cup final halftime show?,0.04,0.08,0.06,0.11,4604.76,1853.32,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-JAY,Who will perform at the 2026 FIFA World Cup final halftime show?,0.03,0.04,0.035,0.04,2164.83,1480.43,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-JAS,Who will perform at the 2026 FIFA World Cup final halftime show?,0.06,0.07,0.065,0.05,462.00,366.00,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-IMA,Who will perform at the 2026 FIFA World Cup final halftime show?,0.02,0.08,0.05,0.02,1174.19,844.39,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-ICE,Who will perform at the 2026 FIFA World Cup final halftime show?,0.01,0.02,0.015,0.01,967.99,646.99,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-GUN,Who will perform at the 2026 FIFA World Cup final halftime show?,0.03,0.04,0.035,0.02,1198.12,807.00,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-GRE,Who will perform at the 2026 FIFA World Cup final halftime show?,0.03,0.04,0.035,0.04,558.62,299.92,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-GRA,Who will perform at the 2026 FIFA World Cup final halftime show?,0.01,0.02,0.015,0.02,438.00,288.00,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-FUT,Who will perform at the 2026 FIFA World Cup final halftime show?,0.11,0.14,0.125,0.21,6506.77,4317.60,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-FRE,Who will perform at the 2026 FIFA World Cup final halftime show?,0.02,0.13,0.075,0.09,779.03,574.01,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-FRA,Who will perform at the 2026 FIFA World Cup final halftime show?,0.01,0.02,0.015,0.01,255.00,241.00,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-FOO,Who will perform at the 2026 FIFA World Cup final halftime show?,0.01,0.02,0.015,0.03,283.79,254.79,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-FAL,Who will perform at the 2026 FIFA World Cup final halftime show?,0.02,0.03,0.025,0.01,432.50,384.50,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-EMI,Who will perform at the 2026 FIFA World Cup final halftime show?,0.02,0.03,0.025,0.05,1015.30,741.12,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-ELT,Who will perform at the 2026 FIFA World Cup final halftime show?,0.02,0.03,0.025,0.03,715.81,390.81,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-ELL,Who will perform at the 2026 FIFA World Cup final halftime show?,0.04,0.05,0.045,0.04,817.37,320.13,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-ED,Who will perform at the 2026 FIFA World Cup final halftime show?,0.03,0.04,0.035,0.04,859.36,410.36,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-EAG,Who will perform at the 2026 FIFA World Cup final halftime show?,0.01,0.02,0.015,0.01,326.01,260.01,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-DUA,Who will perform at the 2026 FIFA World Cup final halftime show?,0.07,0.13,0.1,0.08,2587.05,1436.49,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-DRA,Who will perform at the 2026 FIFA World Cup final halftime show?,0.12,0.13,0.125,0.13,20448.50,10937.39,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-DON,Who will perform at the 2026 FIFA World Cup final halftime show?,0.01,0.02,0.015,0.02,1059.00,490.00,active
,KXWORLDCUPHALFTIME-26,KXWORLDCUPHALFTIME-26-DOJ,Who will perform at the 2026 FIFA World Cup final halftime show?,0.05,0.06,0.055,0.05,1190.45,580.38,active
,KXWCWINNERTRAIL-26,KXWCWINNERTRAIL-26-Y,Will the World Cup winner never trail in a match throughout the 2026 Men's FIFA World Cup?,0.21,0.47,0.34,0.36,7463.63,4679.52,active
,KXWCTEAMSINGAME-26USAMEX,KXWCTEAMSINGAME-26USAMEX-Y,Will USA play Mexico in the 2026 Men's FIFA World Cup?,0.02,0.08,0.05,0.03,27636.38,25360.51,active
,KXWCTEAMSINGAME-26USAENG,KXWCTEAMSINGAME-26USAENG-Y,Will USA play England in the 2026 Men's FIFA World Cup?,0.03,0.06,0.045,0.04,2897.97,2806.81,active
,KXWCTEAMSINGAME-26FRAGER,KXWCTEAMSINGAME-26FRAGER-Y,Will France play Germany in the 2026 Men's FIFA World Cup?,0.0,0.01,0.005,0.01,8396.77,6433.63,active
,KXWCTEAMSINGAME-26BRAARG,KXWCTEAMSINGAME-26BRAARG-Y,Will Brazil play Argentina in the 2026 Men's FIFA World Cup?,0.08,0.58,0.33,0.37,721.96,680.25,active
,KXWCTEAMSINGAME-26ARGPOR,KXWCTEAMSINGAME-26ARGPOR-Y,Will Argentina play Portugal in the 2026 Men's FIFA World Cup?,0.03,0.1,0.065,0.1,1941.09,1934.09,active
,KXWCROUND-26SEMI,KXWCROUND-26SEMI-USA,Will USA qualify for FIFA World Cup Semifinals?,0.15,0.19,0.17,0.19,548187.32,390843.60,active
,KXWCROUND-26SEMI,KXWCROUND-26SEMI-SWE,Will Sweden qualify for FIFA World Cup Semifinals?,0.02,0.05,0.035,0.01,5447.13,4182.33,active
,KXWCROUND-26SEMI,KXWCROUND-26SEMI-SUI,Will Switzerland qualify for FIFA World Cup Semifinals?,0.08,0.09,0.085,0.08,17025.66,15075.10,active
,KXWCROUND-26SEMI,KXWCROUND-26SEMI-SEN,Will Senegal qualify for FIFA World Cup Semifinals?,0.07,0.08,0.075,0.07,28594.83,23347.47,active
,KXWCROUND-26SEMI,KXWCROUND-26SEMI-POR,Will Portugal qualify for FIFA World Cup Semifinals?,0.21,0.24,0.225,0.24,149331.81,68903.22,active
,KXWCROUND-26SEMI,KXWCROUND-26SEMI-PAR,Will Paraguay qualify for FIFA World Cup Semifinals?,0.03,0.06,0.045,0.04,9276.53,9076.50,active
,KXWCROUND-26SEMI,KXWCROUND-26SEMI-NOR,Will Norway qualify for FIFA World Cup Semifinals?,0.14,0.17,0.155,0.18,71101.13,49657.17,active
,KXWCROUND-26SEMI,KXWCROUND-26SEMI-NED,Will Netherlands qualify for FIFA World Cup Semifinals?,0.22,0.24,0.23,0.24,140119.47,111130.12,active
,KXWCROUND-26SEMI,KXWCROUND-26SEMI-MEX,Will Mexico qualify for FIFA World Cup Semifinals?,0.13,0.14,0.135,0.14,429830.62,270831.85,active
,KXWCROUND-26SEMI,KXWCROUND-26SEMI-MAR,Will Morocco qualify for FIFA World Cup Semifinals?,0.08,0.17,0.125,0.18,86352.15,64540.24,active
,KXWCROUND-26SEMI,KXWCROUND-26SEMI-GHA,Will Ghana qualify for FIFA World Cup Semifinals?,0.01,0.02,0.015,0.03,8132.98,6320.69,active
